listing_url,price,town,bedrooms,bathrooms,area,floor,tenure,property_type,listing_id,address_from_url,postal_code,onemap_full_address,onemap_road_name,latitude,longitude,nearest_mrt_name,nearest_mrt_exit,nearest_mrt_distance_m,num_mrt_within_1000m,nearest_clinic_name,nearest_clinic_distance_m,nearest_park_name,nearest_park_distance_m,nearest_community_club_name,nearest_community_club_distance_m,nearest_hawker_name,nearest_hawker_distance_m,num_clinic_within_1000m,num_park_within_1000m,num_community_club_within_1000m,num_hawker_within_1000m,num_amenities_within_1000m
https://www.propertyguru.com.sg/listing/hdb-for-sale-903-tampines-avenue-4-60183063,"S$ 880,000",Clementi,3,2,"1,432 sqft",High floor,,HDB,60183063,903 Tampines Avenue 4,520903,903 TAMPINES AVENUE 4 TAMPINES PALMSVILLE SINGAPORE 520903,TAMPINES AVENUE 4,1.350976363,103.9397611,TAMPINES MRT STATION,Exit F,479.8,2,,249.2,SUN PLAZA PK,765.1,Tampines Central CC,278.8,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),823,32,1,2,1,36
https://www.propertyguru.com.sg/listing/hdb-for-sale-32-bedok-south-avenue-2-500051307,"S$ 799,999",Bedok,3,2,"1,270 sqft",15th floor,,HDB,500051307,32 Bedok South Avenue 2,460032,32 BEDOK SOUTH AVENUE 2 SINGAPORE 460032,BEDOK SOUTH AVENUE 2,1.322625781,103.9378158,BEDOK MRT STATION,Exit B,924.2,1,,357.5,SENNETT AVE LINEAR PK,382.8,Bedok CC,266.1,Bedok South Road Blk 16,350.9,22,7,5,4,38
https://www.propertyguru.com.sg/listing/hdb-for-sale-32-bedok-south-avenue-2-500051307,"S$ 799,999",Bedok,3,2,"1,270 sqft",15th floor,,HDB,500051307,32 Bedok South Avenue 2,460032,32 BEDOK SOUTH AVENUE 2 SINGAPORE 460032,BEDOK SOUTH AVENUE 2,1.322625781,103.9378158,BEDOK MRT STATION,Exit B,924.2,1,,357.5,SENNETT AVE LINEAR PK,382.8,Bedok CC,266.1,Bedok South Road Blk 16,350.9,22,7,5,4,38
https://www.propertyguru.com.sg/listing/hdb-for-sale-163-bishan-street-13-500073723,"S$ 960,000",Ang Mo Kio,4,2,"1,302 sqft",High floor,,HDB,500073723,163 Bishan Street 13,570163,163 BISHAN STREET 13 SINGAPORE 570163,BISHAN STREET 13,1.348022952,103.856275,BISHAN MRT STATION,Exit D,754.4,2,,318.6,KALLANG LINEAR PARK,139.8,Bishan CC,662.4,Toa Payoh Lorong 8 Blk 210,883.4,14,7,1,1,23
https://www.propertyguru.com.sg/listing/hdb-for-sale-163-bishan-street-13-500073723,"S$ 960,000",Ang Mo Kio,4,2,"1,302 sqft",High floor,,HDB,500073723,163 Bishan Street 13,570163,163 BISHAN STREET 13 SINGAPORE 570163,BISHAN STREET 13,1.348022952,103.856275,BISHAN MRT STATION,Exit D,754.4,2,,318.6,KALLANG LINEAR PARK,139.8,Bishan CC,662.4,Toa Payoh Lorong 8 Blk 210,883.4,14,7,1,1,23
https://www.propertyguru.com.sg/listing/hdb-for-sale-224-jurong-east-street-21-500068835,"S$ 528,000",Bukit Batok,3,2,979 sqft,,,HDB,500068835,224 Jurong East Street 21,600224,224 JURONG EAST STREET 21 SINGAPORE 600224,JURONG EAST STREET 21,1.341714031,103.7367332,CHINESE GARDEN MRT STATION,Exit C,372.1,1,,163.1,JLG: CG MRT TOL LINKWAY,481.5,Yuhua CC,196.1,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),225.8,22,4,1,2,29
https://www.propertyguru.com.sg/listing/hdb-for-sale-302-clementi-avenue-4-60181859,"S$ 578,000",Clementi,3,2,990 sqft,High floor,,HDB,60181859,302 Clementi Avenue 4,120302,302 CLEMENTI AVENUE 4 CLEMENTI MEADOWS SINGAPORE 120302,CLEMENTI AVENUE 4,1.321738637,103.7649102,CLEMENTI MRT STATION,Exit B,693.9,1,,235.2,SUNSET WAY PG,472.1,Clementi CC,484.6,Clementi Ave 3 Blk 448,932,11,6,1,1,19
https://www.propertyguru.com.sg/listing/hdb-for-sale-94-dawson-road-500041954,"S$ 1,400,000",Bukit Merah,3,2,947 sqft,,,HDB,500041954,94 Dawson Road,141094,94 DAWSON ROAD SKYPARC @ DAWSON SINGAPORE 141094,DAWSON ROAD,1.296274834,103.8112064,QUEENSTOWN MRT STATION,Exit B,585.7,2,,192.7,CAMP ROAD INTERIM PARK,999.6,Leng Kee CC,803,Mei Chin Road Blk 159 (Mei Chin Road Market),983.2,10,0,1,1,12
https://www.propertyguru.com.sg/listing/hdb-for-sale-94-dawson-road-500041954,"S$ 1,400,000",Bukit Merah,3,2,947 sqft,,,HDB,500041954,94 Dawson Road,141094,94 DAWSON ROAD SKYPARC @ DAWSON SINGAPORE 141094,DAWSON ROAD,1.296274834,103.8112064,QUEENSTOWN MRT STATION,Exit B,585.7,2,,192.7,CAMP ROAD INTERIM PARK,999.6,Leng Kee CC,803,Mei Chin Road Blk 159 (Mei Chin Road Market),983.2,10,0,1,1,12
https://www.propertyguru.com.sg/listing/hdb-for-sale-181-jelebu-road-500026081,"S$ 795,000",Bukit Panjang,3,2,"1,012 sqft",,,HDB,500026081,181 Jelebu Road,670181,181 JELEBU ROAD SINGAPORE 670181,JELEBU ROAD,1.379257887,103.7629971,BUKIT PANJANG MRT STATION,Exit A,120.1,7,,93,RAIL CORRIDOR,291.5,Senja-Cashew CC,317.1,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),4852.4,21,5,2,0,28
https://www.propertyguru.com.sg/listing/hdb-for-sale-18-bedok-south-road-500059721,"S$ 450,000",Bedok,2,1,786 sqft,High Floor,,HDB,500059721,18 Bedok South Road,460018,18 BEDOK SOUTH ROAD SINGAPORE 460018,BEDOK SOUTH ROAD,1.320625049,103.9347342,BEDOK MRT STATION,Exit B,692.5,1,,0,SENNETT AVE LINEAR PK,252,Bedok CC,426.3,Bedok South Road Blk 16,83.4,20,6,4,4,34
https://www.propertyguru.com.sg/listing/hdb-for-sale-226-jurong-east-street-21-500037503,"S$ 680,000",Bukit Batok,3,2,"1,292 sqft",,,HDB,500037503,226 Jurong East Street 21,600226,226 JURONG EAST STREET 21 SINGAPORE 600226,JURONG EAST STREET 21,1.341404713,103.7358435,CHINESE GARDEN MRT STATION,Exit C,273.3,1,,223.4,JLG: CG MRT TOL LINKWAY,389.2,Yuhua CC,208.7,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),312.3,18,4,2,2,26
