address_from_url,eldercare_count_1km,clinic_count_1km,hospital_count_1km,communityclub_count_1km,park_count_1km
903 Tampines Avenue 4,4.0,10.0,0.0,2.0,1.0
32 Bedok South Avenue 2,2.0,6.0,0.0,5.0,6.0
163 Bishan Street 13,2.0,2.0,0.0,1.0,6.0
224 Jurong East Street 21,4.0,5.0,0.0,1.0,3.0
302 Clementi Avenue 4,1.0,1.0,0.0,1.0,6.0
94 Dawson Road,4.0,0.0,0.0,1.0,0.0
181 Jelebu Road,1.0,3.0,0.0,2.0,4.0
18 Bedok South Road,2.0,6.0,0.0,4.0,6.0
226 Jurong East Street 21,3.0,4.0,0.0,2.0,3.0
706 Yishun Avenue 5,0.0,3.0,0.0,2.0,3.0
116A Jalan Tenteram,5.0,4.0,0.0,3.0,4.0
512 Bedok North Avenue 2,3.0,5.0,0.0,4.0,1.0
470 Sembawang Drive,0.0,0.0,0.0,1.0,1.0
464B Clementi Avenue 1,1.0,1.0,0.0,2.0,3.0
211 Jurong East Street 21,1.0,4.0,2.0,1.0,1.0
14 Dover Close East,1.0,2.0,0.0,3.0,4.0
588D Ang Mo Kio Street 52,4.0,3.0,0.0,2.0,1.0
489 Admiralty Link,0.0,0.0,0.0,0.0,1.0
312 Bukit Batok Street 32,0.0,3.0,0.0,1.0,1.0
67 Marine Drive,1.0,5.0,0.0,2.0,3.0
613 Bukit Panjang Ring Road,1.0,3.0,0.0,1.0,0.0
114 Bedok Reservoir Road,0.0,2.0,0.0,2.0,14.0
49 Strathmore Avenue,5.0,3.0,0.0,2.0,0.0
93 Paya Lebar Way,7.0,3.0,0.0,1.0,1.0
For Sale Pinery Residences,,,,,
467 Ang Mo Kio Avenue 10,3.0,7.0,0.0,1.0,2.0
81 Commonwealth Close,2.0,1.0,0.0,1.0,0.0
287D Jurong East Street 21,1.0,4.0,2.0,1.0,0.0
235 Bukit Batok East Avenue 5,2.0,3.0,0.0,2.0,3.0
410 Commonwealth Avenue West,2.0,1.0,0.0,1.0,3.0
643 Ang Mo Kio Avenue 5,6.0,5.0,1.0,2.0,8.0
96 Bedok North Avenue 4,0.0,3.0,0.0,2.0,3.0
342 Clementi Avenue 5,2.0,1.0,0.0,1.0,1.0
24 Hougang Avenue 3,2.0,6.0,0.0,2.0,2.0
43 Bedok South Road,2.0,4.0,0.0,3.0,10.0
425 Canberra Road,0.0,0.0,0.0,0.0,2.0
629 Hougang Avenue 8,0.0,2.0,0.0,3.0,4.0
93 Whampoa Drive,4.0,5.0,4.0,2.0,2.0
337 Ang Mo Kio Avenue 1,4.0,9.0,0.0,3.0,3.0
663B Punggol Drive,0.0,2.0,0.0,1.0,0.0
